	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[1]	0	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	1	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	2	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	3	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	4	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	5	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	6	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	7	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	8	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
SIMSBM_[1]	9	0.7860	0.7273	0.7273	0.9000	0.8922	0.8636	0.2727	0.1364	
